open_time,close_time,O,H,L,C,V_Q,V_C
2017-12-19 12:30:00,2017-12-19 12:44:59.999000,18700.9,18700.9,18620.14,18666.89,1174788.7943417,62.947952
2017-12-19 12:45:00,2017-12-19 12:59:59.999000,18671.45,18730.0,18666.9,18690.98,1014371.41049681,54.270746
2017-12-19 13:00:00,2017-12-19 13:14:59.999000,18685.49,18700.0,18607.59,18690.0,1486383.92303228,79.608263
2017-12-19 13:15:00,2017-12-19 13:29:59.999000,18690.0,18706.0,18651.64,18680.0,1148401.93145465,61.484092
2017-12-19 13:30:00,2017-12-19 13:44:59.999000,18652.02,18750.0,18651.61,18739.97,1486122.58009967,79.454599
2017-12-19 13:45:00,2017-12-19 13:59:59.999000,18739.97,18750.0,18670.0,18694.09,1265685.97358163,67.649205
2017-12-19 14:00:00,2017-12-19 14:14:59.999000,18690.02,18750.0,18625.0,18650.0,1856893.83352026,99.421583
2017-12-19 14:15:00,2017-12-19 14:29:59.999000,18630.0,18702.49,18599.98,18630.11,2128175.32836053,114.137937
2017-12-19 14:30:00,2017-12-19 14:44:59.999000,18630.13,18658.02,18523.09,18573.99,2424628.38719635,130.537828
2017-12-19 14:45:00,2017-12-19 14:59:59.999000,18572.99,18598.28,18510.0,18540.0,1065765.71215842,57.428908
2017-12-19 15:00:00,2017-12-19 15:14:59.999000,18538.13,18615.0,18511.89,18580.03,827802.282418,44.571698
2017-12-19 15:15:00,2017-12-19 15:29:59.999000,18599.95,18674.8,18580.03,18583.0,500202.03730389,26.859647
